GHG emissions (excl. LULUCF),MtCO2eq GWP AR6,NDCs as of 18th November 2021,,,,,
United Arab Emirates,69.4,215.1,261.2,248.1,248.1,237.2,237.2
United Kingdom of Great Britain and Northern Ireland,809.9,617.3,460.3,367.2,367.2,276.2,276.2
United Republic of Tanzania,43.7,73.4,92.9,121.9,109.7,146,123.7
United States of America,6657,7147.8,6696.3,5846.2,5712.3,4239.3,4105.4
Uruguay,29.2,37.8,42.8,42.2,39.4,41.7,36.6
Uzbekistan,212.3,232.5,234.4,307.8,307.8,372.6,372.6
Vanuatu,0.5,0.7,0.8,0.9,0.8,0.9,0.8
Venezuela (Bolivarian Republic of),186.6,270.6,188.3,212.8,212.8,233.4,233.4
Viet Nam,104.2,274.5,426.8,481.5,481.5,543.5,543.5
Yemen,17.8,41.7,33.9,39.9,38.2,45.3,39.4
Zambia,20,23.7,30,44.2,41.1,62.3,50.3
Zimbabwe,30.4,22.1,23.8,28.1,28.1,35.3,35.3
State of Palestine,2.1,3.3,9,10.7,9.7,12.3,10.3
 ,,,,,,,
Intl. Aviation,259.6,457.4,627.9,627.9,627.9,627.9,627.9
Intl. Maritime Transport,453.1,786.9,755.1,687.1,687.1,630.6,630.6
