,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1788,1355.481287,594.6856653,760.7956214,1355.481287,594.6856653,760.7956214,1355.481287,594.6856653,760.7956214,24.85592892,24.85592892,24.85592892
1789,1363.459015,605.6261687,757.832846,1363.459015,605.6261687,757.832846,1363.459015,605.6261687,757.832846,24.71707284,24.71707284,24.71707284
1790,1381.810458,616.7679459,765.0425117,1381.810458,616.7679459,765.0425117,1381.810458,616.7679459,765.0425117,24.94220857,24.94220857,24.94220857
1791,1391.787883,628.1146997,763.6731834,1391.787883,628.1146997,763.6731834,1391.787883,628.1146997,763.6731834,24.77843217,24.77843217,24.77843217
1792,1406.082508,639.6702011,766.4123065,1406.082508,639.6702011,766.4123065,1406.082508,639.6702011,766.4123065,24.81889294,24.81889294,24.81889294
1793,1424.779937,651.4382904,773.3416468,1424.779937,651.4382904,773.3416468,1424.779937,651.4382904,773.3416468,25.03153141,25.03153141,25.03153141
1794,1458.244845,663.4228787,794.8219664,1458.244845,663.4228787,794.8219664,1458.244845,663.4228787,794.8219664,25.76753778,25.76753778,25.76753778
1795,1471.635637,675.6279489,796.0076886,1471.635637,675.6279489,796.0076886,1471.635637,675.6279489,796.0076886,25.77334281,25.77334281,25.77334281
1796,1485.28226,688.0575572,797.2247025,1485.28226,688.0575572,797.2247025,1485.28226,688.0575572,797.2247025,25.74058407,25.74058407,25.74058407
1797,1513.805271,700.7158345,813.0894362,1513.805271,700.7158345,813.0894362,1513.805271,700.7158345,813.0894362,26.23006226,26.23006226,26.23006226
1798,1537.611427,713.6069877,824.0044397,1537.611427,713.6069877,824.0044397,1537.611427,713.6069877,824.0044397,26.54644012,26.54644012,26.54644012
1799,1557.659149,726.7353009,830.9238478,1557.659149,726.7353009,830.9238478,1557.659149,726.7353009,830.9238478,26.70648817,26.70648817,26.70648817
1800,1583.696348,740.1051373,843.5912108,1583.696348,740.1051373,843.5912108,1583.696348,740.1051373,843.5912108,27.05634308,27.05634308,27.05634308
1801,1600.132448,753.7209402,846.4115077,1600.132448,753.7209402,846.4115077,1600.132448,753.7209402,846.4115077,27.12488718,27.12488718,27.12488718
1802,1629.664453,767.5872346,862.0772181,1629.664453,767.5872346,862.0772181,1629.664453,767.5872346,862.0772181,27.33978432,27.33978432,27.33978432
1803,1639.464644,781.708629,857.7560148,1639.464644,781.708629,857.7560148,1639.464644,781.708629,857.7560148,27.32049985,27.32049985,27.32049985
1804,1662.004296,796.0898163,865.91448,1662.004296,796.0898163,865.91448,1662.004296,796.0898163,865.91448,27.46474997,27.46474997,27.46474997
1805,1690.645463,810.735576,879.9098867,1690.645463,810.735576,879.9098867,1690.645463,810.735576,879.9098867,27.9507982,27.9507982,27.9507982
1806,1713.518095,825.6507755,887.8673198,1713.518095,825.6507755,887.8673198,1713.518095,825.6507755,887.8673198,28.13437245,28.13437245,28.13437245
1807,1741.525865,840.8403718,900.6854936,1741.525865,840.8403718,900.6854936,1741.525865,840.8403718,900.6854936,28.45865603,28.45865603,28.45865603
1808,1776.045647,856.3094128,919.7362338,1776.045647,856.3094128,919.7362338,1776.045647,856.3094128,919.7362338,29.18524117,29.18524117,29.18524117
1809,1791.565889,872.0630397,919.5028492,1791.565889,872.0630397,919.5028492,1791.565889,872.0630397,919.5028492,29.12865813,29.12865813,29.12865813
1810,1819.470978,888.1064879,931.3644898,1819.470978,888.1064879,931.3644898,1819.470978,888.1064879,931.3644898,29.42453242,29.42453242,29.42453242
1811,1838.857199,904.4450894,934.4121101,1838.857199,904.4450894,934.4121101,1838.857199,904.4450894,934.4121101,29.40578756,29.40578756,29.40578756
1812,1858.68701,921.084274,937.6027361,1858.68701,921.084274,937.6027361,1858.68701,921.084274,937.6027361,29.4202985,29.4202985,29.4202985
1813,1887.236125,938.0295718,949.2065534,1887.236125,938.0295718,949.2065534,1887.236125,938.0295718,949.2065534,29.77847603,29.77847603,29.77847603
1814,1928.334429,955.2866142,973.0478144,1928.334429,955.2866142,973.0478144,1928.334429,955.2866142,973.0478144,30.54785186,30.54785186,30.54785186
1815,1951.501393,972.8611365,978.6402562,1951.501393,972.8611365,978.6402562,1951.501393,972.8611365,978.6402562,30.64433954,30.64433954,30.64433954
1816,1979.957193,990.7589794,989.198214,1979.957193,990.7589794,989.198214,1979.957193,990.7589794,989.198214,30.79985622,30.79985622,30.79985622
1817,2012.982462,1008.986091,1003.996371,2012.982462,1008.986091,1003.996371,2012.982462,1008.986091,1003.996371,31.19839541,31.19839541,31.19839541
1818,2047.059192,1027.548529,1019.510663,2047.059192,1027.548529,1019.510663,2047.059192,1027.548529,1019.510663,31.68760832,31.68760832,31.68760832
1819,2072.193211,1046.452462,1025.740749,2072.193211,1046.452462,1025.740749,2072.193211,1046.452462,1025.740749,31.84544135,31.84544135,31.84544135
1820,2107.463345,1065.704174,1041.759171,2107.463345,1065.704174,1041.759171,2107.463345,1065.704174,1041.759171,32.33339467,32.33339467,32.33339467
1821,2134.784509,1085.310061,1049.474448,2134.784509,1085.310061,1049.474448,2134.784509,1085.310061,1049.474448,32.52138863,32.52138863,32.52138863
1822,2164.466305,1105.27664,1059.189664,2164.466305,1105.27664,1059.189664,2164.466305,1105.27664,1059.189664,32.73451052,32.73451052,32.73451052
1823,2190.414537,1125.610547,1064.80399,2190.414537,1125.610547,1064.80399,2190.414537,1125.610547,1064.80399,32.75571509,32.75571509,32.75571509
1824,2222.823898,1146.318539,1076.505359,2222.823898,1146.318539,1076.505359,2222.823898,1146.318539,1076.505359,33.0519787,33.0519787,33.0519787
1825,2261.53642,1167.407499,1094.128921,2261.53642,1167.407499,1094.128921,2261.53642,1167.407499,1094.128921,33.52533882,33.52533882,33.52533882
1826,2291.619037,1188.884434,1102.734603,2291.619037,1188.884434,1102.734603,2291.619037,1188.884434,1102.734603,33.7481029,33.7481029,33.7481029
1827,2331.293444,1210.756484,1120.53696,2331.293444,1210.756484,1120.53696,2331.293444,1210.756484,1120.53696,34.15505001,34.15505001,34.15505001
1828,2379.669819,1233.030916,1146.638903,2379.669819,1233.030916,1146.638903,2379.669819,1233.030916,1146.638903,34.99912851,34.99912851,34.99912851
1829,2404.15786,1255.715133,1148.442727,2404.15786,1255.715133,1148.442727,2404.15786,1255.715133,1148.442727,35.01640513,35.01640513,35.01640513
1830,2462.942436,1278.816675,1184.125761,2462.942436,1278.816675,1184.125761,2462.942436,1278.816675,1184.125761,35.40215534,35.40215534,35.40215534
1831,2483.004772,1302.343219,1180.661553,2483.004772,1302.343219,1180.661553,2483.004772,1302.343219,1180.661553,35.37418705,35.37418705,35.37418705
1832,2514.339103,1326.302583,1188.03652,2514.339103,1326.302583,1188.03652,2514.339103,1326.302583,1188.03652,35.56272349,35.56272349,35.56272349
1833,2554.444684,1350.70273,1203.741953,2554.444684,1350.70273,1203.741953,2554.444684,1350.70273,1203.741953,35.98083111,35.98083111,35.98083111
1834,2604.903541,1375.55177,1229.35177,2604.903541,1375.55177,1229.35177,2604.903541,1375.55177,1229.35177,36.76106097,36.76106097,36.76106097
1835,2637.835686,1400.857961,1236.977725,2637.835686,1400.857961,1236.977725,2637.835686,1400.857961,1236.977725,36.88278973,36.88278973,36.88278973
1836,2690.419728,1426.629713,1263.790015,2690.419728,1426.629713,1263.790015,2690.419728,1426.629713,1263.790015,37.24729235,37.24729235,37.24729235
1837,2731.653532,1452.875591,1278.777941,2731.653532,1452.875591,1278.777941,2731.653532,1452.875591,1278.777941,37.69980678,37.69980678,37.69980678
1838,2779.541202,1479.604317,1299.936885,2779.541202,1479.604317,1299.936885,2779.541202,1479.604317,1299.936885,38.24210962,38.24210962,38.24210962
1839,2820.316438,1506.824775,1313.491663,2820.316438,1506.824775,1313.491663,2820.316438,1506.824775,1313.491663,38.51117556,38.51117556,38.51117556
1840,2869.071797,1534.546011,1334.525786,2869.071797,1534.546011,1334.525786,2869.071797,1534.546011,1334.525786,38.88776194,38.88776194,38.88776194
1841,2917.350796,1562.777238,1354.573558,2917.350796,1562.777238,1354.573558,2917.350796,1562.777238,1354.573558,39.38162317,39.38162317,39.38162317
1842,2962.62383,1591.527838,1371.095993,2962.62383,1591.527838,1371.095993,2962.62383,1591.527838,1371.095993,39.61872888,39.61872888,39.61872888
1843,2998.318911,1620.807366,1377.511545,2998.318911,1620.807366,1377.511545,2998.318911,1620.807366,1377.511545,39.65326382,39.65326382,39.65326382
1844,3050.357411,1650.625553,1399.731857,3050.357411,1650.625553,1399.731857,3050.357411,1650.625553,1399.731857,40.04426499,40.04426499,40.04426499
1845,3115.206968,1680.992309,1434.214659,3115.206968,1680.992309,1434.214659,3115.206968,1680.992309,1434.214659,40.66967667,40.66967667,40.66967667
1846,3158.76717,1711.917726,1446.849444,3158.76717,1711.917726,1446.849444,3158.76717,1711.917726,1446.849444,40.97519975,40.97519975,40.97519975
1847,3222.800951,1743.412082,1479.388869,3222.800951,1743.412082,1479.388869,3222.800951,1743.412082,1479.388869,41.61647168,41.61647168,41.61647168
1848,3279.570527,1775.485843,1504.084684,3279.570527,1775.485843,1504.084684,3279.570527,1775.485843,1504.084684,42.44947063,42.44947063,42.44947063
1849,3326.513191,1808.149669,1518.363522,3326.513191,1808.149669,1518.363522,3326.513191,1808.149669,1518.363522,42.63396461,42.63396461,42.63396461
1850,3386.077077,1841.414415,1544.662662,3386.077077,1841.414415,1544.662662,3386.077077,1841.414415,1544.662662,43.14236365,43.14236365,43.14236365
1851,3361.644105,1812.641691,1549.002414,3361.644105,1812.641691,1549.002414,3361.644105,1812.641691,1549.002414,43.15191371,43.15191371,43.15191371
1852,3583.648281,2017.958792,1565.68949,3583.648281,2017.958792,1565.68949,3583.648281,2017.958792,1565.68949,43.34412933,43.34412933,43.34412933
1853,3602.952311,2010.429149,1592.523162,3602.952311,2010.429149,1592.523162,3602.952311,2010.429149,1592.523162,43.88435963,43.88435963,43.88435963
1854,3661.693052,2003.49854,1658.194511,3661.693052,2003.49854,1658.194511,3661.693052,2003.49854,1658.194511,44.80907906,44.80907906,44.80907906
1855,3660.35098,1992.57304,1667.777941,3660.35098,1992.57304,1667.777941,3660.35098,1992.57304,1667.777941,44.9570539,44.9570539,44.9570539
1856,3711.967847,2014.438713,1697.529134,3711.967847,2014.438713,1697.529134,3711.967847,2014.438713,1697.529134,45.32147323,45.32147323,45.32147323
1857,3756.080079,2033.990905,1722.089175,3756.080079,2033.990905,1722.089175,3756.080079,2033.990905,1722.089175,46.01300694,46.01300694,46.01300694
